연번,경로당명,주소,연락처,해당동
111,우방강촌2차경로당,대구광역시 동구 화랑로80길 9 (방촌동),053-983-3644,방촌동
112,방촌2차영남네오빌APT경로당,대구광역시 동구 동촌로42길 63 (방촌동),,방촌동
113,방촌현대아파트경로당,대구광역시 동구 화랑로91길 7 (방촌동),053-981-8890,방촌동
114,영남네오빌APT경로당,대구광역시 동구 동촌로 190(방촌동),053-981-6416,방촌동
115,방촌청구타운경로당,대구광역시 동구 화랑로73길 36 (방촌동),053-981-1369,방촌동
116,무궁화아파트경로당,대구광역시 동구 동촌로 222 (방촌동),053-981-0306,방촌동
117,동명경로당,대구광역시 동구 동촌로58길 20 (방촌동),,방촌동
118,방촌세영리첼경로당,"대구광역시 동구 동촌로 260(방촌동, 방촌역세영리첼아파트)",,방촌동
119,방촌제2경로당,대구광역시 동구 둔산로45길 16 (방촌동),053-985-5584,해안동
120,방촌제3경로당,대구광역시 동구 방촌로1길 102 (방촌동),053-981-8229,해안동
121,방촌제5경로당,대구광역시 동구 방촌로1길 138-6 (방촌동),053-982-2970,해안동
122,둔산경로당,대구광역시 동구 둔산로51길 140 (둔산동),053-984-2476,해안동
123,상동경로당,대구광역시 동구 옻골로20길 31 (둔산동),053-984-1267,해안동
124,대암경로당,대구광역시 동구 둔산로 328 (둔산동),053-982-4942,해안동
125,명당경로당,대구광역시 동구 옻골로 38 (부동),053-983-8263,해안동
126,부동경로당,대구광역시 동구 부동길 183 (부동),053-984-3917,해안동
127,월천경로당,대구광역시 동구 부동길 45 (부동),053-984-4119,해안동
128,신평경로당,대구광역시 동구 신평로16길 57-13 (신평동),053-983-2186,해안동
129,신덕경로당,대구광역시 동구 신덕로5길 50 (신평동),053-962-5328,해안동
130,동원아파트경로당,대구광역시 동구 안심로41길 21 (신기동),053-964-4833,안심1동
131,모란1차아파트경로당,대구광역시 동구 율하동로20길 40 (신기동),053-963-3374,안심1동
132,모란2차APT경로당,"대구광역시 동구 율하동로20길 30, 1동 101호 (신기동)",053-963-1377,안심1동
133,모란3차APT경로당,대구광역시 동구 율하동로20길 31 (신기동),053-214-2333,안심1동
134,신기경로당,대구광역시 동구 반야월로28길 49-3 (신기동),053-962-0482,안심1동
135,천일맨션경로당,대구광역시 동구 율하동로24길 14 (신기동),053-962-9326,안심1동
136,화성아파트경로당,대구광역시 동구 율하동로20길 20 (신기동),053-962-4097,안심1동
137,율하경로당,대구광역시 동구 반야월로22길 20-2 (율하동),053-962-9355,안심1동
138,율하뜨란채경로당,대구광역시 동구 율하동로 67 (율하동),053-965-5733,안심1동
139,주공APT4단지경로당,대구광역시 동구 율하동로 73 (율하동),053-961-5210,안심1동
140,율하휴먼시아5단지경로당,대구광역시 동구 율하서로 59 (율하동),,안심1동
141,율하휴먼시아6단지경로당,대구광역시 동구 안심로16길 45 (율하동),053-295-4315,안심1동
142,율하휴먼시아7단지경로당,대구광역시 동구 안심로22길 55 (율하동),,안심1동
143,SM안아주아파트경로당,대구광역시 동구 안심로16길 29 (율하동),053-964-0900,안심1동
144,율하휴먼시아15단지경로당,대구광역시 동구 금호강변로3길 9 (율하동),053-202-3919,안심1동
145,율하휴먼시아10단지경로당,대구광역시 동구 율하동로8길 16 (율하동),,안심1동
146,율하휴먼시아11단지경로당,대구광역시 동구 율하동로 19 (율하동),,안심1동
147,율하센트럴파크 9단지경로당,대구광역시 동구 안심로22길 76 (율하동),,안심1동
148,율하리버파크뷰경로당,대구광역시 동구 금호강변로 315 (율하동),053-964-0383,안심1동
149,세계육상선수촌1단지경로당,대구광역시 동구 율하서로 85 (율하동),053-965-1401,안심1동
150,세계육상선수촌2단지경로당,대구광역시 동구 안심로16길 71 (율하동),,안심1동
151,율하우방아이유쉘경로당,대구광역시 동구 금호강변로3길 22 (율하동),,안심1동
152,율하롯데캐슬탑클래스경로당,"대구광역시 동구 율하서로 23 (율하동, 율하롯데캐슬탑클래스)",,안심1동
153,율하휴먼시아8단지아파트경로당,대구광역시 동구 안심로22길 75 (율하동),,안심1동
154,율하숲경로당,대구광역시 동구 금호강변로3길 35,,안심1동
155,매여경로당,대구광역시 동구 매여로8길 41 (매여동),053-984-4979,안심2동
156,백자맨션경로당,대구광역시 동구 동촌로 346 (용계동),053-982-1022,안심2동
157,용계1경로당,대구광역시 동구  용계로3길 2-7 (용계동)                                                                                            ,053-964-5884,안심2동
158,용계제2경로당,"대구광역시 동구 화랑로108길 1-11,101동 102호(용계동, 성창빌리지)",053-961-2276,안심2동
159,강변동서마을아파트경로당,대구광역시 동구 화랑로100길 17 (용계동),053-964-4262,안심2동
160,용계타운아파트경로당,대구광역시 동구 반야월로6길 20 (용계동),053-962-3778,안심2동
161,율암경로당,대구광역시 동구 반야월북로12길 32 (율암동),053-963-5404,안심2동
162,용호경로당,대구광역시 동구 화랑로93길 23-1 (용계동),053-981-0087,안심2동
163,율하역엘크루경로당,대구광역시 동구 안심로7길 7 (용계동),,안심2동
164,율하시티프라디움경로당,"대구광역시 동구 반야월로 35 (용계동, 율하시티프라디움)",,안심2동
165,호반써밋이스텔라 경로당,"대구광역시 동구 반야월북로 111-11(율암동, 호반써밋이스텔라아파트)",,안심2동
166,파라곤경로당,대구광역시 동구 안심뉴타운7로 13,,안심2동
167,대구안심뉴타운시티프라디움 경로당 ,대구광역시 동구  안심뉴타운7로 31,,안심2동
168,대경넥스빌경로당,대구광역시 동구 안심로 400 (신서동),053-963-4765,안심3동
169,동화해오름타운경로당,"대구광역시 동구 동호로 89, 204동 (신서동,204)",053-961-5081,안심3동
170,영조아름다운나날1단지경로당,대구광역시 동구 안심로 402 (신서동),053-247-7735,안심3동
171,영조아름다운나날3단지경로당,대구광역시 동구 동호로 132 (신서동),053-216-5553,안심3동
172,영조아름다운나날2단지경로당,대구광역시 동구 동호로 88 (신서동),053-964-0405,안심3동
173,송정경로당,대구광역시 동구 안심로90길 17-1 (괴전동),053-964-2662,안심3동
174,금강경로당,대구광역시 동구 금강로 235 (금강동),053-962-3010,안심3동
175,상록아이투빌경로당,대구광역시 동구 동호로 47 (동호동),053-243-2340,안심3동
176,안심역우방아이유쉘아파트경로당,"대구광역시 동구 금강로21길 10 (괴전동, 안심역우방아이유쉘)",,안심3동
177,괴전경로당,대구광역시 동구 반야월북로 348-2(괴전동),,안심3동
178,안심역코오롱하늘채경로당,"대구광역시 동구 금강로21길 30, 101동내",,안심3동
179,동호경로당,대구광역시 동구 반야월로 220 (동호동),053-963-3261,안심4동
180,서호제1경로당,대구광역시 동구 안심로41길 50-10 (서호동),053-964-1680,안심4동
181,서호제2경로당,대구광역시 동구 안심로51길 14 (서호동),053-964-5940,안심4동
182,서호할머니경로당,대구광역시 동구 안심로43길 20 (서호동),,안심4동
183,안심효성타운APT경로당,대구광역시 동구 경안로 809 (각산동),053-963-2664,안심4동
184,금강진우금탑경로당,대구광역시 동구 반야월북로 175 (각산동),053-964-9990,안심4동
185,녹원맨션경로당,대구광역시 동구 반야월북로 269 (신서동),053-964-3125,안심4동
186,신서청구아파트경로당,대구광역시 동구 반야월북로55길 19 (신서동),053-247-4789,안심4동
187,신서그린빌경로당,대구광역시 동구 반야월북로 251 (신서동),053-963-8885,안심4동
188,롯데캐슬레전드경로당,대구광역시 동구 안심로73길 22 (신서동),053-294-7818,안심4동
189,신일해피트리경로당,대구광역시 동구 반야월로 370 (신서동),053-266-7367,안심4동
190,각산태영데시앙경로당,대구광역시 동구 반야월북로 123 (각산동),053-964-5454,안심4동
191,각산푸르지오2단지경로당,대구광역시 동구 경안로 822 (각산동),053-965-5092,안심4동
192,신서퀸덤아파트경로당,대구광역시 동구 신서로 72 (신서동),,안심4동
193,신서화성파크드림아파트경로당,대구광역시 동구 반야월북로 221 (신서동),053-965-0936,안심4동
194,성지경로당,"대구광역시 동구 반야월북로 155 (각산동, 성지각산아파트)",053-965-3892,안심4동
195,각산서한이다음경로당,"대구광역시 동구 반야월북로 167 (각산동, 각산서한이다음아파트)",,안심4동
196,각산푸르지오1단지 경로당,"대구광역시 동구 경안로 824, 102동(각산동, 각산푸르지오1단지)",,안심4동
197,숙천경로당,대구광역시 동구 숙천로2길 13-5 (숙천동),053-963-6928,혁신동
198,내곡경로당,대구광역시 동구 노실1길 5 (내곡동),053-962-0600,혁신동
199,대구혁신LH천년나무3단지경로당,대구광역시 동구 과학로13길 30 (각산동),,혁신동
200,대구혁신LH천년나무6단지경로당,대구광역시 동구 과학로 23 (각산동),,혁신동
201,"대구신서혁신LH천년나무13,14단지경로당",대구광역시 동구 초례로 66 (숙천동),,혁신동
202,신서혁신행복주택경로당,대구광역시 동구 메디밸리로 18 (사복동),,혁신동
203,대구혁신LH이노힐즈,대구광역시 동구 메디밸리로 35 (사복동),,혁신동
204,대구혁신LH4단지경로당,"대구광역시 동구 경안로 956 (각산동, 대구혁신 LH4단지)",053-964-1161,혁신동
205,대구혁신센텀힐즈경로당,대구광역시 동구 혁신대로 450 (대림동),,혁신동
206,대구혁신도시서한이다음3차경로당,대구광역시 동구 혁신대로 443 (대림동),,혁신동
207,대구혁신제일경로당,대구광역시 동구 이노밸리로29길 34(각산동),,혁신동
208,혁신서한e스테이경로당,"대구광역시 동구 혁신대로 504(사복동, 서한e스테이)",,혁신동
209,대구혁신도시서한이다음경로당,"대구광역시 동구 이노밸리로29길 56 (각산동, 서한이다음1차)",,혁신동
210,내동경로당,대구광역시 동구 내동로6길 77-15 (내동),053-981-0083,공산동
211,도학1동경로당,대구광역시 동구 팔공산로 1467 (도학동),,공산동
212,미곡경로당,대구광역시 동구 용천로 38-7 (미곡동),053-981-1063,공산동
213,미대경로당,대구광역시 동구 팔공로 817 (미대동),,공산동
214,백안경로당,대구광역시 동구 팔공로207길 47 (백안동),053-982-0592,공산동
215,신무경로당,대구광역시 동구 용천로 399 (신무동),053-982-8413,공산동
216,용수경로당,대구광역시 동구 용천로 282 (용수동),053-981-8394,공산동
217,진인1동경로당,대구광역시 동구 갓바위로12길 35 (진인동),053-981-0614,공산동
218,구암경로당,대구광역시 동구 구암길 48 (미대동),053-981-1063,공산동
219,도학2동경로당,대구광역시 동구 도장길 69-6 (도학동),053-982-0279,공산동
220,능성경로당,대구광역시 동구 지경길 21 (능성동),053-985-8870,공산동
221,신용1동경로당,대구광역시 동구 용진길 143 (신용동),053-982-5323,공산동
222,덕곡경로당,대구광역시 동구 서촌로23길 37-1 (덕곡동),053-985-4711,공산동
223,송정2동경로당,대구광역시 동구 팔공산로23길 76 (송정동),053-981-9777,공산동
224,송정1동경로당,대구광역시 동구 팔공산로 375 (송정동),,공산동
225,신용2경로당,대구광역시 동구 파계로120길 63 (신용동),053-985-6261,공산동
226,중대1동경로당,대구광역시 동구 파계로116길 39  (중대동),053-984-9209,공산동
227,중대2동경로당,대구광역시 동구 파계로 558-2(중대동),053-985-7313,공산동
228,지묘1동경로당,대구광역시 동구 파계로16길 29 (지묘동),053-984-3994,공산동
229,지묘2동경로당,"대구광역시 동구 파계로19길 11, B동 2층 202호 (지묘동, 로얄빌라)",053-981-6906,공산동
230,팔공2차보성아파트경로당,대구광역시 동구 팔공로101길 55 (지묘동),053-243-6900,공산동
231,팔공보성1차경로당,대구광역시 동구 팔공로 489 (지묘동),053-981-0030,공산동
232,왕산우방아파트경로당,대구광역시 동구 파계로6길 30 (지묘동),053-983-4363,공산동
233,화성명산아파트경로당,대구광역시 동구 파계로22길 7 (지묘동),,공산동
234,태왕그린힐즈APT경로당,대구광역시 동구 파계로 46 (지묘동),053-981-1676,공산동
235,팔공보성3차경로당,대구광역시 동구 파계로 71 (지묘동),053-243-3140,공산동
236,진인2동경로당,대구광역시 동구 인산로 67 (진인동),,공산동
237,옥정경로당,대구광역시 동구 내동로 67 (내동),,공산동
238,태정경로당,대구광역시 동구 팔공산로 1166 (용수동),,공산동
239,대구연경LH천년나무2단지경로당,"대구광역시 동구 연경지묘로 153(지묘동, 대구연경LH천년나무2단지)",053-982-0916,공산동
240,뉴웰시티 경로당,"대구광역시 동구 동화천로77길 30(지묘동, LH뉴웰시티)",,공산동
241,연경아이파크경로당,"대구광역시 동구 동화천로 369, 111동(지묘동,대구연경아이파크)",053-981-8300,공산동
