시군명,경로당명,소재지지번주소,전화번호,인허가일자,운영상태,입소정원,데이터기준일자
의정부시,보광아파트경로당," 의정부시 시민로387번길 5 (용현동, 보광아파트)",031-844-3621,1991-08-02,운영,27,2025-06-25
의정부시,세아1차아파트경로당," 의정부시 시민로387번길 54 (용현동, 세아1차아파트)",031-821-5197,1991-11-21,운영,43,2025-06-25
의정부시,용현현대1차아파트경로당," 의정부시 오목로 36 (용현동, 현대1차아파트)",031-842-0938,1992-12-30,운영,31,2025-06-25
의정부시,용현현대2차아파트경로당," 의정부시 오목로 1 (용현동, 현대2차아파트)",031-840-9009,1998-07-20,운영,30,2025-06-25
의정부시,세아2차아파트경로당," 의정부시 용민로7번길 17 (용현동, 세아2차아파트)",031-851-9709,1997-09-19,운영,30,2025-06-25
의정부시,그랜드아파트경로당," 의정부시 오목로35번길 10 (용현동, 그랜드아파트)",031-851-4246,1998-10-19,운영,20,2025-06-25
의정부시,용현건영아파트경로당," 의정부시 용민로7번길 50 (용현동, 용현건영아파트)",031-851-3136,1999-01-30,운영,42,2025-06-25
의정부시,용현신도10차아파트경로당," 의정부시 용현로 40 (용현동, 신도10차아파트) ",031-825-0202,2002-03-21,운영,61,2025-06-25
의정부시,송산주공1단지아파트경로당," 의정부시 부용로 233 (용현동, 송산주공1차아파트)",031-827-7897,2002-12-11,운영,30,2025-06-25
의정부시,정원경로당(정자마을), 의정부시 고산로65번길 26-4 (고산동),031-821-9981,2003-02-28,운영,24,2025-06-25
의정부시,용현신도브래뉴아파트경로당," 의정부시 용현로 72 (용현동, 신도브래뉴아파트)",031-825-0086,2006-07-31,운영,23,2025-06-25
의정부시,용현11차신도브래뉴아파트경로당," 의정부시 용민로21번길 63 (용현동, 용현11차신도브래뉴아파트)",031-838-0326,2007-07-02,운영,28,2025-06-25
의정부시,용현건영캐스빌아파트경로당," 의정부시 용민로7번길 89 (용현동, 용현건영캐스빌아파트)",031-852-3020,2007-08-21,운영,20,2025-06-25
의정부시,방아다리경로당, 의정부시 용민로21번길 45 (용현동),031-851-3652,2008-12-18,운영,31,2025-06-25
의정부시,동문아파트경로당," 의정부시 오목로4번길 5, 1층 (용현동, 동문아파트)",031-843-0099,2013-07-23,운영,22,2025-06-25
의정부시,우영경로당,의정부시 오목로14번길 19-5(용현동),,2018-10-11,운영,31,2025-06-25
의정부시,고산센트레빌5단지아파트경로당,"의정부시 서광로 166, 1층(산곡동, 고산센트레빌)",,2021-10-08,운영,31,2025-06-25
의정부시,한신더휴고산1단지경로당,의정부시 입암로 13(고산동),,2022-06-07,운영,26,2025-06-25
의정부시,정음마을고산1단지경로당,의정부시 입암로 14(고산동),,2022-06-30,운영,33,2025-06-25
의정부시,고산2단지아파트경로당,의정부시 정음로 15(고산동),,2022-06-07,운영,67,2025-06-25
의정부시,고산대방노블랜드아파트경로당,의정부시 서광로 210(고산동),,2022-07-15,운영,24,2025-06-25
의정부시,쌍용더플래티넘4단지경로당,의정부시 서광로 187(고산동),,2022-10-18,운영,52,2025-06-25
의정부시,탑석센트럴자이아파트경로당,의정부시 용민로 10(용현동),,2022-11-07,운영,125,2025-06-25
의정부시,고산대광아파트경로당,의정부시 서광로 169 (산곡동),,2023-03-17,운영,34,2025-06-25
의정부시,고산리슈빌포레경로당,의정부시 훈민로 13 (고산동),,2023-07-13,운영,21,2025-06-25
의정부시,고산수자인디에스티지경로당,의정부시 수암로 25 (산곡동),,2024-03-06,운영,29,2025-06-25
의정부시,오목경로당, 의정부시 오목로122번길 13 (민락동),031-851-6440,1989-04-28,운영,20,2025-06-25
의정부시,민락주공2단지아파트경로당," 의정부시 오목로 150 (민락동, 주공2단지아파트)",031-851-3123,2000-03-29,운영,24,2025-06-25
의정부시,산들마을4단지아파트경로당," 의정부시 오목로 168 (민락동, 산들마을4단지아파트)",031-852-0042,2000-01-01,운영,24,2025-06-25
의정부시,산들마을1단지아파트경로당," 의정부시 용현로 143 (민락동, 산들마을1단지아파트)",031-852-2581,2000-03-23,운영,53,2025-06-25
의정부시,민락청구1차아파트경로당," 의정부시 오목로 112 (민락동, 청구1차아파트)",031-852-3339,2001-06-04,운영,23,2025-06-25
의정부시,송산주공5단지아파트경로당," 의정부시 송현로 87 (민락동, 주공5단지아파트)",031-851-3304,2001-12-24,운영,24,2025-06-25
의정부시,민락서광청구아파트경로당," 의정부시 오목로 169 (민락동, 서광청구아파트)",031-851-8840,2001-12-31,운영,26,2025-06-25
의정부시,송산주공6단지아파트경로당," 의정부시 효자로 26 (민락동, 주공6단지아파트)",031-853-2342,2001-06-13,운영,20,2025-06-25
의정부시,송산팰리스아파트경로당," 의정부시 효자로 25 (민락동, 송산팰리스아파트)",031-825-7017,2002-12-05,운영,70,2025-06-25
의정부시,송산주공7단지아파트경로당," 의정부시 용현로 118 (민락동, 주공7단지아파트)",031-852-2205,2003-01-09,운영,41,2025-06-25
의정부시,탑석드림캐슬경로당," 의정부시 오목로 72 (민락동, 주공4단지아파트) ",031-824-7506,2003-02-07,운영,22,2025-06-25
의정부시,한라비발디아파트경로당," 의정부시 오목로 77 (민락동, 한라비발디아파트)",031-851-1034,2003-12-24,운영,21,2025-06-25
의정부시,송산주공3단지아파트경로당," 의정부시 효자로 40 (민락동, 주공3단지아파트)",031-853-5227,2004-02-18,운영,20,2025-06-25
의정부시,송산대우푸르지오아파트경로당," 의정부시 용현로105번길 26 (민락동, 대우푸르지오아파트)",031-852-1517,2005-09-09,운영,14,2025-06-25
의정부시,민락e-편한세상아파트경로당," 의정부시 승지로 27 (민락동, e-편한세상아파트)",031-853-9166,2007-03-29,운영,20,2025-06-25
의정부시,곤제경로당, 의정부시 천보로122번길 83-6 (낙양동),031-851-8934,1989-04-28,운영,51,2025-06-25
의정부시,양지마을8단지아파트경로당," 의정부시 송양로 45, 1층 (낙양동, 양지마을아파트)",031-853-3633,2013-06-27,운영,61,2025-06-25
의정부시,용암마을16단지아파트경로당," 의정부시 용민로 420, 1층 (낙양동, 용암마을아파트)",031-851-5359,2013-06-27,운영,22,2025-06-25
의정부시,LH부용마을3단지아파트경로당," 의정부시 오목로 251, 1층 (낙양동, 부용마을3단지 주민복지관2)",031-851-1003,2014-03-31,운영,56,2025-06-25
의정부시,민락센트럴아파트경로당," 의정부시 용민로 442, 2층 (민락동, 민락15단지 주민복지관1)",031-853-2398,2014-07-08,운영,15,2025-06-25
의정부시,민락푸르지오아파트경로당," 의정부시 송양로 46 (낙양동, 민락푸르지오아파트)",031-853-7790,2015-12-10,운영,53,2025-06-25
의정부시,용암마을13단지경로당,"의정부시 용민로 429-39 (낙양동, 용암마을13단지아파트)",,2017-04-20,운영,63,2025-06-25
의정부시,휴스토리아파트경로당,"의정부시 오목로 252 (낙양동, 엘에이치휴스토리아파트)",031-851-1507,2017-06-26,운영,31,2025-06-25
의정부시,민락금강펜테리움아파트 경로당,"의정부시 용민로 263 (낙양동, 민락금강펜테리움아파트)",031-851-3038,2018-06-01,운영,24,2025-06-25
의정부시,민락호반베르디움2차아파트경로당,"의정부시 송양로 16(낙양동, 민락호반베르디움2차아파트)",031-852-6667,2018-09-03,운영,20,2025-06-25
의정부시,민락반도유보라아이비파크아파트경로당,"의정부시 용민로 304(낙양동, 민락반도유보라아이비파크아파트)",,2018-09-03,운영,30,2025-06-25
의정부시,LH민락양지마을10단지경로당,"의정부시 용민로 373-17(낙양동, LH민락양지마을10단지아파트)",,2019-02-01,운영,35,2025-06-25
의정부시,라디언트캐슬아파트12단지 경로당,"의정부시 용민로 419(낙양동, 라디언트캐슬아파트12단지)",031-852-5708,2019-03-15,운영,21,2025-06-25
의정부시,민락대방노블랜드9단지경로당,"의정부시 용민로 374(낙양동, 민락대방노블랜드9단지)",,2019-06-14,운영,32,2025-06-25
의정부시,민락대광로제비앙포레스트 경로당,의정부시 용민로 373-20(낙양동),,2020-01-02,운영,56,2025-06-25
의정부시,LH브라운빌리지14단지 경로당," 의정부시 용민로 441 (민락동, LH브라운빌리지)",031-852-9407,2016-05-12,운영,22,2025-06-25
의정부시,제3차호반베르디움경로당,"의정부시 송양로 93(민락동, 제3차호반베르디움아파트)",,2018-01-31,운영,20,2025-06-25
의정부시,민락엘레트아파트경로당,"의정부시 송양로 94 (민락동, 민락엘레트아파트)",,2018-06-26,운영,39,2025-06-25
