연번,시설유형,시설명,소재지,전화번호,팩스번호,시설장
26,재가노인복지시설,우리재가복지센터,"부산광역시 수영구 수영로 691-3, 908호호 (수영동)",051-756-5553,051-756-5554,신은숙
27,재가노인복지시설,마음베품재가복지센터,"부산광역시 수영구 연수로336번길 23-2, 1층 (광안동)",051-753-5353,051-753-5353,권세헌
28,재가노인복지시설,케어링 주간보호센터 부산 수영점,부산광역시 수영구 광안해변로358번길 7 (민락동),051-756-1277,051-719-4794,김혜진
29,재가노인복지시설,흰여울재가복지센터,"부산광역시 수영구 남천동로10번길 32, 4층 (남천동)",051-626-9664,051-626-9665,이송이
30,재가노인복지시설,행복한재가복지센터,부산광역시 수영구 과정로91번길 19-1 (망미동),051-623-0624,051-714-3460,강연호
31,재가노인복지시설,한서방문요양복지센터,"부산광역시 수영구 남천동로24번길 8, 2층 (남천동)",051-751-2030,051-753-2030,최길순
32,재가노인복지시설,현대재가방문요양센터,"부산광역시 수영구 수영로384번길 16, 2층 (남천동)",051-625-0773,051-625-0772,이승현
33,재가노인복지시설,수영효도주간보호센터,"부산광역시 수영구 과정로 49, 6층 (망미동)",051-760-8088,051-760-8008,김태완
34,재가노인복지시설,요양365재가복지센터,"부산광역시 수영구 과정로 5, 3층 (망미동)",051-996-0365,051-995-0365,문영숙
35,재가노인복지시설,케어링 통합재가 방문요양 영남지역본부,부산광역시 수영구 연수로 342-1 (광안동),051-751-6585,051-719-4794,장정문
36,재가노인복지시설,자람노인복지센터,"부산광역시 수영구 망미배산로18번길 17, 1층 (망미동)",051-791-0100,051-791-0111,노수진
37,재가노인복지시설,남천재활주간보호센터,"부산광역시 수영구 수영로 411, 7층 (남천동, 글로리)",051-625-2804,051-625-2807,최보경
38,재가노인복지시설,실버 복지용구,"부산광역시 수영구 수미로26번길 61, 1층 (수영동)",051-928-9631,051-910-9631,배성진
39,재가노인복지시설,(A)비지팅엔젤스 부산수영방문요양지점,"부산광역시 수영구 수영로 665, 201호 (광안동, 송파지오스V)",051-761-5366,051-761-5367,이운희
40,재가노인복지시설,문수복지재단 남천재가노인지원서비스센터,"부산광역시 수영구 광서로9번길 4, 3층 (광안동)",051-715-6915,070-8255-6915,박창열
41,재가노인복지시설,골드통합복지센터,"부산광역시 수영구 망미배산로18번길 26, 206호 (망미동, 오티플러스오피스텔)",051-754-6555,051-754-6557,정애란
42,재가노인복지시설,우리동네방문간호요양센터,"부산광역시 수영구 과정로 18-1, 2층 (망미동)",051-913-0330,051-914-0331,김미경
43,재가노인복지시설,한마음주간보호센터,"부산광역시 수영구 수영로 715, 2층 (수영동)",051-715-2244,051-715-0691,임주연
44,재가노인복지시설,온기드림재가노인복지센터,"부산광역시 수영구 장대골로 60-3, 2층 (광안동)",,050-4297-9692,김세희
45,재가노인복지시설,푸른데이케어,"부산광역시 수영구 과정로41번길 20, 3,4층 (망미동, 메디플러스)",051-710-8291,051-710-8290,전재봉
46,재가노인복지시설,아진재가노인복지센터,"부산광역시 수영구 수영로741번길 12, 2층 202-4호 (수영동)",051-710-8885,051-710-8842,이일홍
47,재가노인복지시설,다솜재가복지센터,"부산광역시 수영구 수영로 546, 602호 (광안동, 석천유토피아)",051-754-5351,051-754-5352,김경숙
48,재가노인복지시설,뉴경데이케어,부산광역시 수영구 망미배산로24번길 27 (망미동),051-754-9988,051-754-9987,손민규
49,재가노인복지시설,키다리 복지용구,"부산광역시 수영구 망미번영로88번길 11, 1층 (망미동)",,051-757-2874,이재훈
50,재가노인복지시설,신기의료기 수영점,"부산광역시 수영구 과정로 38, 1층 (망미동)",051-757-7274,051-757-7275,오현도
51,재가노인복지시설,보듬케어복지용구,"부산광역시 수영구 무학로69번길 21, 지하1층 (민락동)",051-936-8306,051-937-8306,조인정
52,재가노인복지시설,사랑드림 재가방문요양센터,"부산광역시 수영구 망미번영로55번길 108, 지하1층 (망미동, 현대망미아파트)",051-643-5257,051-643-5257,김도연
53,재가노인복지시설,남천효인정데이케어센터,"부산광역시 수영구 남천동로 36, 4층 (남천동)",051-611-0405,050-4005-0067,이용백
54,재가노인복지시설,실버사랑케어 재가복지센터,"부산광역시 수영구 수미로26번길 70, 1층 (수영동)",051-902-6579,051-903-6579,정현주
55,재가노인복지시설,우리마을협동조합(복이온 복지용구),"부산광역시 수영구 과정로55번길 36, 1층 (망미동)",051-711-1799,070-4324-1799,김신애
56,재가노인복지시설,수영두손재가복지센터,"부산광역시 수영구 수영로 421-1, 502호 (남천동)",051-715-1308,051-980-5119,박성철
57,노인일자리지원기관,부산수영시니어클럽,"부산광역시 수영구 광남로 38, 7층 (남천동, 대양빌딩)",051-625-1262,051-625-1264,이주미
53,아동복지시설,동산원,부산광역시 수영구 광일로29번길 42 (광안동),051-752-3190,,김은형
54,아동복지시설,꿈cum,부산광역시 수영구 수미로86번길 30-2 (수영동),051-715-7531,,하지영
55,아동복지시설,광안해늘지역아동센터,부산광역시 수영구 수영로642번길 37 (광안동),051-752-0281,,황순미
56,아동복지시설,한솔지역아동센터,"부산광역시 수영구 호암로30번길 6, 2층 (광안동)",051-757-9234,,손수경
57,아동복지시설,참좋은지역아동센터,"부산광역시 수영구 민락로34번길 25, 2층 (민락동)",051-751-0643,,김주현
58,아동복지시설,수영지역아동센터,"부산광역시 수영구 망미번영로38번길 87, 3층 (광안동)",051-755-1864,,이현정
59,아동복지시설,망미지역아동센터,"부산광역시 수영구 망미로8번길 28-1, 1층 (망미동)",051-758-8452,,권정미
60,다함께돌봄센터,홀트수영다함께돌봄센터,"부산광역시 수영구 장대골로 20-5, 3층 (광안동)",051-760-3700,,류지현
61,다함께돌봄센터,배산다함께돌봄센터,"부산광역시 수영구 과정로91번길 42, 1층 (망미동)",051-710-3117,,도선이
62,다함께돌봄센터,엄지마을 다함께돌봄센터,"부산광역시 수영구 광서로16번길 22-1, 102호 (광안동, 유성하이츠빌라)",051-752-2657,,남수진
63,다함께돌봄센터,어방골다함께돌봄센터,부산광역시 수영구 광안로35번길 5 (광안동),051-751-3550,,이정민
64,다함께돌봄센터,백산마을다함께돌봄센터,부산광역시 수영구 민락본동로27번길 16 (민락동),051-751-1020,,류현자
65,장애인거주시설,참사랑공동생활가정,"부산광역시 수영구 남천바다로21번길 83, 1동 105호 (광안동, 태림맨션)",051-755-5871,,하수연
66,장애인거주시설,나사함사랑공동가정,부산광역시 수영구 무학로34번길 36 (광안동),051-752-4722,,박상순
67,장애인거주시설,편안한집장애인공동생활가정,"부산광역시 수영구 수영로610번길 112, A동 101호 (광안동, 광안빌라)",051-754-8080,,우정순
68,장애인지역사회재활시설,수영구장애인복지관,"부산광역시 수영구 장대골로 75-14 (광안동, 수영구장애인복지관)",051-717-0290,,정수정
69,장애인지역사회재활시설,부산가톨릭농아인복지회 주간보호시설,부산광역시 수영구 광일로29번길 59 (광안동),051-751-8693,,이상희
70,장애인지역사회재활시설,참누리 장애인주간보호시설,"부산광역시 수영구 금련로43번길 54 (망미동, 부산종합사회복지관)",051-755-3367,,구춘희
71,장애인지역사회재활시설,지니장애인주간보호센터,부산광역시 수영구 연수로269번길 11 (망미동),051-756-2332,,김지영
72,장애인지역사회재활시설,두드림주간보호센터,부산광역시 수영구 망미번영로63번길 60 (망미동),051-756-0269,,한인숙
73,장애인지역사회재활시설,수영구장애인주간보호센터,부산광역시 수영구 광남로 218-4 (민락동),051-756-1595,,전해연
74,장애인지역사회재활시설,해찬장애인주간보호센터,"부산광역시 수영구 망미로28번길 39, 102호 (망미동, 성우빌라)",051-711-4255,,황지연
75,장애인지역사회재활시설,수영구수어통역센터,"부산광역시 수영구 수영로 569 (광안동,(4층))",051-759-9344,,홍연숙
76,장애인직업재활시설,도영하우스,"부산광역시 수영구 수영로 690-5, 402호 (광안동)",051-714-0030,,노경수
77,장애인직업재활시설,징검다리,"부산광역시 수영구 과정로91번길 19-2, 1층 (망미동)",051-755-0383,,홍석관
78,정신재활시설,컴넷하우스,부산광역시 수영구 망미배산로76번나길 27 (망미동),051-759-1268,,배소연
79,정신건강증진기관,수영구 정신건강복지센터,부산광역시 수영구 수영로 637-5 (광안동),051-610-5682,,김경미
80,일반사회복지시설,부산종합사회복지관,부산광역시 수영구 금련로43번길 54 (망미동),051-755-3367,,구춘희
81,일반사회복지시설,홀트수영종합사회복지관,부산광역시 수영구 장대골로 20-5 (광안동),051-760-3620,,하한태
82,자활시설,부산수영지역자활센터,부산광역시 수영구 구락로 ,051-757-4034,,최치훈
85,통합상담소,다함께 성·가정상담센터,부산광역시 수영구 연수로 392 (광안동),051-753-1377,,이주현
86,청소년복지시설,반디청소년회복지원시설,"부산광역시 수영구 과정로61번길 61-4, 2층 (망미동)",051-757-0543,,이상필
87,기타복지시설,수영구가족센터,부산광역시 수영구 황령산로7번길 45 (남천동),,,류도희
